coût total employeur,salaire brut,rémunération avant impôt,rémunération après impôt,cout marginal employeur,net apres impots marginal,tx prelevement marginal,tx prelevement total,revenu net imposable
1756.7098688411725,1682.5975322054453,1310.0,1310.0,13.038949718765252,10.0,0.23,0.25428784489187173,14148.0
1769.7488185599373,1695.23021485035,1320.0,1320.0,13.038949718764798,10.0,0.23,0.25413151808533296,14256.0
1782.7877682787023,1707.8628974952549,1330.0,1330.0,13.038949718765025,10.0,0.23,0.2539774779727034,14364.0
1795.8267179974673,1720.4955801401597,1340.0,1340.0,13.038949718765025,10.0,0.23,0.25382567474483897,14472.0
1808.865667716232,1733.1282627850644,1350.0,1350.0,13.038949718764798,10.0,0.23,0.2536760600287694,14580.0
1821.9046174349971,1745.7609454299693,1360.0,1360.0,13.038949718765025,10.0,0.23,0.25352858683630597,14688.0
1834.943567153762,1758.393628074874,1370.0,1370.0,13.038949718764798,10.0,0.23,0.2533832095148407,14796.0
1851.5245694939665,1771.0263107197788,1380.0,1380.0,16.581002340204577,10.0,0.4,0.2546684489812452,14904.0
1875.2907385382093,1783.6589933646835,1390.0,1390.0,23.766169044242815,10.0,0.58,0.2587817037462452,15012.0
1899.0288706065899,1796.2916760095882,1400.0,1400.0,23.738132068380537,10.0,0.58,0.26278113709690587,15120.0
1922.9160683301807,1808.924358654493,1410.0,1410.0,23.887197723590816,10.0,0.58,0.26673864068945285,15228.0
1946.588020300721,1821.5570412993977,1420.0,1420.0,23.67195197054025,10.0,0.58,0.270518466157194,15336.0
1970.4039848534135,1834.1897239443024,1430.0,1430.0,23.81596455269255,10.0,0.58,0.2742605069823244,15444.0
1994.3639619882579,1846.8224065892073,1440.0,1440.0,23.959977134844394,10.0,0.58,0.27796530623296456,15552.0
2018.0960606874073,1859.455089234112,1450.0,1450.0,23.732098699149446,10.0,0.58,0.2815009791407347,15660.0
2042.0376610144885,1872.1530850272102,1460.0517017248271,1460.0,23.941600327081233,10.0,0.58,0.28502799654071076,15768.558378628131
2065.530381645783,1884.656134043804,1469.9490840687401,1470.0,23.49272063129456,10.0,0.57,0.28831825245820697,15875.450107942394
2090.6869389586905,1898.0411187932557,1480.5446045339443,1480.0,25.156557312907353,10.0,0.6,0.2920987216163873,15989.881728966599
2118.752298431183,1912.8953830172293,1492.303202957981,1490.0,28.065359472492673,10.0,0.64,0.29675582607119666,16116.874591946196
2146.811976385262,1927.7522763312927,1504.0638825631604,1500.0,28.05967795407878,10.0,0.64,0.3012895400249299,16243.889931682133
2174.5165497287244,1942.4758824053558,1515.7190523223735,1510.0,27.70457334346247,10.0,0.64,0.3055929201749169,16369.765765081635
2202.5707974169663,1957.3572699379101,1527.4991214896747,1520.0,28.054247688241958,10.0,0.64,0.3098973880978184,16496.990512088487
2230.5746804152595,1972.2130153768173,1539.25889243975,1530.0,28.003882998293193,10.0,0.64,0.31407820853367396,16623.9960383493
2258.5484350828674,1987.0654337832582,1551.0160297192426,1540.0,27.973754667607864,10.0,0.64,0.31814599468330973,16750.97312096782
2286.494227561474,2001.9204242876217,1562.7752030650206,1550.0,27.945792478606563,10.0,0.64,0.3221062465066604,16877.97219310222
2314.400961949381,2016.7721128890712,1574.5317626327064,1560.0,27.90673438790691,10.0,0.64,0.32595950312845523,17004.94303643323
2342.4739934527543,2031.6263632848893,1586.2903501104101,1570.0,28.073031503373386,10.0,0.64,0.32976844139998995,17131.93578119243
2370.18061513253,2046.3756814625933,1597.9658735065852,1580.0,27.706621679775708,10.0,0.64,0.3333842436505904,17258.03143387112
2398.1638076052477,2061.2292050385245,1609.7238856354834,1590.0,27.983192472717747,10.0,0.64,0.3369927994916111,17385.017964863222
2426.0931010547224,2076.0795032224773,1621.479344552155,1600.0,27.9292934494747,10.0,0.64,0.3405034349466405,17511.976921163274
2454.1764391231445,2090.929459114851,1633.234532511668,1610.0,28.08333806842211,10.0,0.64,0.343975330212666,17638.93295112602
2482.2065993206324,2105.7819469755505,1644.9917247709782,1620.0,28.03016019748793,10.0,0.64,0.34735499497020184,17765.910627526566
2510.172434377726,2120.6312353122185,1656.7463842950638,1630.0,27.9658350570935,10.0,0.64,0.3506421073934376,17892.86095038669
2538.076200757082,2135.4830563766427,1668.5030487201093,1640.0,27.903766379356057,10.0,0.64,0.3538412561325981,18019.83292617718
2566.1519508126703,2150.3572038686134,1680.2773866893847,1650.0,28.075750055588287,10.0,0.64,0.35701392590929926,18146.995776245356
2594.1293944015583,2165.208177919653,1692.0333806207523,1660.0,27.977443588888036,10.0,0.64,0.36009350344566515,18273.960510704124
2622.0279638917987,2180.056271902375,1703.7870946972403,1670.0,27.898569490240334,10.0,0.64,0.3630884185828679,18400.900622730198
2650.068808222809,2194.906621453448,1715.542594275996,1680.0,28.04084433101025,10.0,0.64,0.3660542423612366,18527.860018180756
2678.024856627968,2209.7541331725783,1727.29584743408,1690.0,27.95604840515898,10.0,0.64,0.36893793000438757,18654.795152288065
2705.8947030248405,2224.60136415389,1739.0488783608089,1700.0,27.869846396872617,10.0,0.64,0.37174206685773103,18781.727886296736
2733.9008925010203,2239.450837968924,1750.8036847091053,1710.0,28.00618947617977,10.0,0.64,0.3745201453893173,18908.679794858337
2761.811907880378,2254.2975251018515,1762.5562851268128,1720.0,27.91101537935765,10.0,0.64,0.3772204625079476,19035.607879369578
2789.8562893467415,2269.1464366381642,1774.3106463766792,1730.0,28.044381466363575,10.0,0.64,0.37989631006044766,19162.554980868135
2817.7995829008396,2283.992606208235,1786.0628370929232,1740.0,27.94329355409809,10.0,0.64,0.38249698346227556,19289.47864060357
2846.050220505887,2298.9849344368863,1797.9307266379033,1750.0,28.25063760504736,10.0,0.65,0.38511270005797515,19417.651847689354
2873.4524617577845,2313.5600812072585,1809.4683763834628,1760.0,27.40224125189752,10.0,0.64,0.3874962936565497,19542.2584649414
2901.5448579792837,2328.4082048379746,1821.2221139292287,1770.0,28.092396221499257,10.0,0.64,0.3899801657392872,19669.19883043567
2929.5237846481123,2343.253213156671,1832.9733854017877,1780.0,27.978926668828535,10.0,0.64,0.39239275732166723,19796.11256233931
2957.3882766288525,2358.0979373415316,1844.724431954713,1790.0,27.86449198074024,10.0,0.64,0.3947361658328228,19923.0238651109
2985.374910240055,2372.9453693325027,1856.4776220001859,1800.0,27.986633611202706,10.0,0.64,0.39706067077000373,20049.95831760201
3013.4762705115695,2387.7895685525336,1868.2282529922643,1810.0,28.101360271514295,10.0,0.64,0.3993647203428864,20176.865132316456
3041.6416669340742,2402.7813121712475,1880.095679761479,1820.0,28.165396422504728,10.0,0.64,0.40163898315449353,20305.033341423972
3069.489389958906,2417.6201797733447,1891.8420902581302,1830.0,27.847723024831794,10.0,0.64,0.4038095591806975,20431.894574787806
3097.4347998272274,2432.4471211761575,1903.5790600052433,1840.0,27.94540986832135,10.0,0.64,0.40596009278645073,20558.653848056627
3125.5109351365554,2447.2882794860006,1915.3272838204193,1850.0,28.076135309328038,10.0,0.64,0.408096788013224,20685.53466526053
3153.4383521393697,2462.117417172984,1927.0659921405913,1860.0,27.92741700281431,10.0,0.64,0.41016756949082245,20812.312715118387
3181.493561475542,2476.9607018987917,1938.815899221329,1870.0,28.055209336172084,10.0,0.64,0.4122258284944118,20939.211711590353
3209.393925946909,2491.791873142058,1950.5562172995703,1880.0,27.900364471367084,10.0,0.64,0.4142196314942945,21066.00714683536
3237.419153081688,2506.6371288305086,1962.3076845894084,1890.0,28.025227134779016,10.0,0.64,0.4162016099862267,21192.92299356561
3265.2028530913294,2521.4075902376962,1973.9999449131847,1900.0,27.783700009641507,10.0,0.64,0.4181066230797902,21319.199405062394
3293.203648136071,2536.266154333058,1985.7619471046628,1910.0,28.000795044741608,10.0,0.64,0.4200177091974867,21446.22902873036
3321.052989470025,2551.124447023111,1997.523734452377,1920.0,27.849341333953817,10.0,0.64,0.42187011167843447,21573.25633208567
3349.0030184569155,2565.9824709077784,2009.2853090144201,1930.0,27.95002898689063,10.0,0.64,0.42370908595782086,21700.28133735574
3376.9559239786167,2580.7650327336455,2020.987147999372,1940.0,27.95290552170127,10.0,0.64,0.4255181293448893,21826.66119839322
3404.8876882823142,2595.6533351857383,2032.7726909996925,1950.0,27.93176430369749,10.0,0.64,0.42729393742173016,21953.94506279668
3432.876950746339,2610.510456757388,2044.5335512930064,1960.0,27.989262464024705,10.0,0.64,0.4290503271745536,22080.962353964467
3460.9639338691213,2625.3673217074765,2056.2942084453343,1970.0,28.086983122782385,10.0,0.64,0.43079442606164065,22207.977451209612
3488.8846159867844,2640.2239325246105,2068.0546644266506,1980.0,27.92068211766309,10.0,0.64,0.4324834438509725,22334.990375807825
3516.8008022290537,2655.004936926984,2079.7552705590583,1990.0,27.916186242269305,10.0,0.64,0.4341448378796525,22461.35692203783
3544.9106971554165,2669.8610100703017,2091.5153009191254,2000.0,28.109894926362813,10.0,0.64,0.4358109413748328,22588.365249926555
3572.887198196414,2684.7473085150027,2103.299257552205,2010.0,27.97650104099739,10.0,0.64,0.4374297311949692,22715.631981563813
3600.9151652613273,2699.602826516689,2115.0588484635446,2020.0,28.027967064913355,10.0,0.64,0.439031468390673,22842.635563406282
3628.663146452798,2714.382641412903,2126.7585129858503,2030.0,27.7479811914709,10.0,0.64,0.44056529911981357,22968.991940247182
3656.5999952080615,2729.2376470648737,2138.5176983224364,2040.0,27.936848755263327,10.0,0.64,0.4421046874145381,23095.991141882314
3684.62566029534,2744.09241781509,2150.2766977113806,2050.0,28.025665087278412,10.0,0.64,0.44363417074080247,23222.988335282913
3712.740142682281,2758.9469559660215,2162.0355129753125,2060.0,28.11448238694129,10.0,0.64,0.4451537139686592,23349.983540133377
3740.6660632139333,2773.8012638023597,2173.7941459227886,2070.0,27.925920531652082,10.0,0.64,0.4466226067764404,23476.97677596612
3768.7182514452197,2788.685411635561,2185.5764001371813,2080.0,28.052188231286436,10.0,0.64,0.4480881827719665,23604.22512148156
3796.425055831027,2803.4571999992777,2197.2697108764282,2090.0,27.706804385807118,10.0,0.64,0.4494820785344107,23730.512877465426
3824.6837326305567,2818.3677535857037,2209.072867819059,2100.0,28.258676799529894,10.0,0.65,0.4509350314954125,23857.986972445837
3849.178092551203,2833.1543494563343,2220.7779001437607,2110.0,24.494359920646275,10.0,0.59,0.4518310143100682,23984.401321552614
3869.1232953507288,2847.9115210206937,2232.4596402611787,2120.0,19.94520279952576,10.0,0.5,0.4520722137807457,24110.564114820732
3889.24042218071,2862.7958967272707,2244.2420748595655,2130.0,20.117126829981316,10.0,0.5,0.4523351605969289,24237.81440848331
3909.347217611571,2877.6726283787407,2256.0184584430403,2140.0,20.106795430860984,10.0,0.5,0.45259400099300473,24364.999351184833
3929.437749412947,2892.5373268023227,2267.7853165534016,2150.0,20.090531801376073,10.0,0.5,0.4528479645180812,24492.08141877674
3949.502965621995,2907.383294579593,2279.5373475309693,2160.0,20.065216209047776,10.0,0.5,0.453095743945504,24619.00335333447
3969.6000760033517,2922.2528604008344,2291.3080586611495,2170.0,20.097110381356742,10.0,0.5,0.45334542523176136,24746.127033540415
3989.676864271077,2937.1073901795535,2303.066867297659,2180.0,20.076788267725533,10.0,0.5,0.45358985201057633,24873.12216681472
4009.6158843612475,2951.8599872452924,2314.7449862534054,2190.0,19.93902009017029,10.0,0.5,0.453813033467544,24999.24585153678
4029.7003845191157,2966.7202229417235,2326.508311680111,2200.0,20.084500157868206,10.0,0.5,0.4540536516365983,25126.2897661452
4049.8127385804546,2981.6010673447386,2338.2879509074264,2210.0,20.11235406133892,10.0,0.5,0.45429579094145833,25253.509869800208
4069.900987297809,2996.46407654696,2350.053471834382,2220.0,20.088248717354418,10.0,0.5,0.45453218640944826,25380.577495811325
4090.018869480445,3011.3490111282113,2361.836348836564,2230.0,20.117882182636095,10.0,0.5,0.4547702590134667,25507.832567434893
4109.962047587162,3026.1046846511895,2373.51690310817,2240.0,19.94317810671646,10.0,0.5,0.4549827954613693,25633.98255356824
4130.083096286628,3040.991962093157,2385.301634713038,2250.0,20.121048699465973,10.0,0.5,0.4552167595663331,25761.257654900808
4150.192521179013,3055.87063924577,2397.079558350353,2260.0,20.109424892385505,10.0,0.5,0.4554470117413817,25888.459230183817
4170.164331033522,3070.6474969912706,2408.776881999547,2270.0,19.971809854509047,10.0,0.5,0.45565689982456326,26014.79032559511
4190.282354121723,3085.5325358265436,2420.5598415289523,2280.0,20.11802308820097,10.0,0.5,0.4558838760732571,26142.046288512687
4210.268158135768,3100.3197476514315,2432.265361441504,2290.0,19.985804014045243,10.0,0.5,0.4560916312215755,26268.46590356824
4230.395140713863,3115.2114154857077,2444.0535684699475,2300.0,20.126982578094612,10.0,0.5,0.4563155450022989,26395.778539475432
4250.384367907574,3130.00116007249,2455.761093310483,2310.0,19.989227193711486,10.0,0.5,0.45651969327947783,26522.21980775322
4270.520210665359,3144.8993834275643,2467.5544896728015,2320.0,20.135842757784303,10.0,0.5,0.45674063111752206,26649.588488466256
4290.508727889202,3159.6886027177507,2479.2615986898645,2330.0,19.9885172238437,10.0,0.5,0.45694088976389513,26776.025265850538
4310.668382999362,3174.6044444932977,2491.0689417497833,2340.0,20.159655110159292,10.0,0.5,0.4571606999193628,26903.544570897662
4330.6612476054415,3189.3968803497005,2502.778596992622,2350.0,19.99286460607982,10.0,0.5,0.4573576643380768,27030.00884752032
4350.679698349845,3204.2082470255446,2514.5032378248034,2360.0,20.018450744403708,10.0,0.5,0.4575560602020834,27156.63496850788
4370.95623429196,3219.2105672644643,2526.379037020132,2370.0,20.276535942114606,10.0,0.51,0.45778452128092806,27284.893599817427
4390.916520067899,3233.9788985083155,2538.0696111119364,2380.0,19.960285775939155,10.0,0.5,0.45797199081649687,27411.151800008916
4410.929734684599,3248.7863910478254,2549.791185187481,2390.0,20.01321461669977,10.0,0.5,0.45816415132409727,27537.744800024793
4434.098512957389,3265.92864020642,2563.3609467658016,2400.0,23.168778272790405,10.0,0.57,0.4587400957894716,27684.29822507066
4457.7716481562165,3283.4440558733736,2577.226106019223,2410.0,23.673135198827367,10.0,0.58,0.45937118363164375,27834.04194500761
4481.357062552974,3300.894568167875,2591.0398879252693,2420.0,23.585414396757187,10.0,0.58,0.45998500007921705,27983.230789592908
4505.006878822037,3318.3927304907193,2604.891389474627,2430.0,23.649816269063194,10.0,0.58,0.46060017220838945,28132.82700632597
4528.784010541404,3335.9850917024805,2618.8174586289542,2440.0,23.77713171936739,10.0,0.58,0.46122402834844844,28283.228553192705
4552.606530417952,3353.6110349654855,2632.770111251091,2450.0,23.82251987654763,10.0,0.58,0.46184680557755153,28433.91720151178
4576.226003910687,3371.0867471001557,2646.6038412876155,2460.0,23.61947349273487,10.0,0.58,0.4624391365286592,28583.32148590625
4599.8686512737695,3388.5796052515384,2660.4511440681044,2470.0,23.642647363082688,10.0,0.58,0.46302818623747755,28732.872355935528
4623.691051320747,3406.205459854351,2674.4037265070547,2480.0,23.822400046977236,10.0,0.58,0.4636319771368804,28883.560246276193
4647.2494134151575,3423.6359565355274,2688.201664103632,2490.0,23.558362094410768,10.0,0.58,0.4641991423313018,29032.577972319228
4671.072574680316,3441.262374352834,2702.1546923817673,2500.0,23.823161265158888,10.0,0.58,0.46479106620684374,29183.270677723085
4694.692649350946,3458.738531290469,2715.988774523207,2510.0,23.620074670629947,10.0,0.58,0.4653537515658639,29332.67876485064
4718.337511574421,3476.2330281855197,2729.837374529087,2520.0,23.644862223474775,10.0,0.58,0.4659136331479432,29482.243644914142
4742.160486004103,3493.8593077659175,2743.790293379231,2530.0,23.82297442968229,10.0,0.58,0.4664878452013428,29632.935168495693
4765.920993195987,3511.4393687264987,2757.7066256854746,2540.0,23.760507191883335,10.0,0.58,0.4670494957847602,29783.231557403127
4789.541822626652,3528.9160841003372,2771.5411498836165,2550.0,23.620829430665253,10.0,0.58,0.46759001173807435,29932.64441874306
4813.162782762745,3546.392896181261,2785.3757506348456,2560.0,23.620960136093345,10.0,0.58,0.46812522243688814,30082.058106856337
4836.925409343583,3563.9745252475527,2799.2933242496492,2570.0,23.762626580837605,10.0,0.58,0.46867069470789813,30232.367901896214
4860.749425933327,3581.6015759073416,2813.246853484312,2580.0,23.824016589744133,10.0,0.58,0.469217604118213,30383.06601763057
4884.394995296641,3599.096596005091,2827.0958676561404,2590.0,23.64556936331428,10.0,0.58,0.46973985519189176,30532.635370686316
4908.016880464336,3616.574092503726,2840.9310101907186,2600.0,23.621885167694927,10.0,0.58,0.4702544836336141,30682.054910059764
4931.778739354375,3634.1551535665267,2854.8481341753786,2610.0,23.76185889003864,10.0,0.58,0.47077920563756004,30832.359849094086
4955.400991954113,3651.6329219228987,2868.683491911862,2620.0,23.622252599738204,10.0,0.58,0.47128395865440553,30981.781712648106
4979.225347397803,3669.260223295897,2882.637219610474,2630.0,23.824355443689456,10.0,0.58,0.47180535123437883,31132.481971793117
5002.787655503496,3686.693639574637,2896.4374683531837,2640.0,23.562308105693774,10.0,0.58,0.47229424872690984,31281.524658214385
5026.612871224142,3704.321577454306,2910.391699908885,2650.0,23.825215720645247,10.0,0.58,0.4728060425578815,31432.23035901596
5050.377752266786,3721.9048745647888,2924.3105939433003,2660.0,23.764881042644447,10.0,0.58,0.4733067505046157,31582.55441458764
5073.999512690846,3739.3822787673844,2938.1456634165647,2670.0,23.621760424060085,10.0,0.58,0.4737879385100512,31731.9731648989
5097.764854790621,3756.9659170074738,2952.0648274883238,2680.0,23.765342099774898,10.0,0.58,0.47427941460620493,31882.300136873895
5121.388870065783,3774.4449895422936,2965.9012176092056,2690.0,23.624015275161582,10.0,0.58,0.47475186907301903,32031.73315017942
5145.036551167434,3791.9415720851707,2979.7514686086906,2700.0,23.64768110165096,10.0,0.58,0.4752224328027185,32181.31586097386
5168.779250434051,3809.508457215404,2993.657370960571,2710.0,23.74269926661782,10.0,0.58,0.4756982258285758,32331.499606374167
5192.605785527089,3827.1373712799204,3007.612375261757,2720.0,23.82653509303782,10.0,0.58,0.47617824267814657,32482.213652826973
5216.143905772884,3844.5528913055164,3021.3984573752186,2730.0,23.538120245794744,10.0,0.58,0.4766248784542758,32631.103339652364
5257.331045357638,3869.0184846962043,3035.408454028614,2740.0,41.18713958475382,10.0,0.76,0.47882299973123243,32782.411303509034
5280.631771405231,3886.243067066761,3049.224248486581,2750.0,23.300726047593344,10.0,0.57,0.4792290013771079,32931.621883655076
5304.132567347586,3903.6155469910295,3063.1586712026374,2760.0,23.50079594235467,10.0,0.57,0.47965105701535005,33082.11364898849
5327.456523889257,3920.857302026418,3076.988239812135,2770.0,23.323956541671578,10.0,0.57,0.4800521149208713,33231.47298997106
5350.957593125862,3938.2299839778398,3090.9228245736654,2780.0,23.501069236604962,10.0,0.57,0.48046686219551715,33381.96650539559
5374.282187230237,3955.472210318339,3104.7527712158135,2790.0,23.324594104374228,10.0,0.57,0.4808608852308085,33531.329929130785
5397.783456841391,3972.845040392524,3118.687474786242,2800.0,23.501269611154385,10.0,0.57,0.4812685133878113,33681.82472769142
5421.10724214627,3990.0866688446363,3132.5169418636106,2810.0,23.323785304879493,10.0,0.57,0.4816556839774607,33831.182972127
5444.6086220217785,4007.459580429477,3146.4517108135324,2820.0,23.501379875508064,10.0,0.57,0.4820564709054407,33981.678476786146
5467.934483154582,4024.7027433946764,3160.2824087200115,2830.0,23.325861132803766,10.0,0.57,0.4824370594085444,34131.05001417612
5491.635800735148,4042.2234548147107,3174.335727548242,2840.0,23.701317580565956,10.0,0.58,0.48284991940470934,34282.82585752102
5514.880459072705,4059.4065902840894,3188.118277550392,2850.0,23.244658337556757,10.0,0.57,0.48321631658349773,34431.67739754424
5538.1842111171245,4076.633409560546,3201.93586622499,2860.0,23.303752044419525,10.0,0.57,0.4835852329933422,34580.907355229894
5561.906642260095,4094.1697287472243,3216.001704003827,2870.0,23.72243114297089,10.0,0.58,0.48398993366843424,34732.818403241334
5585.012714206164,4111.250417077799,3229.70208141206,2880.0,23.10607194606837,10.0,0.57,0.48433423521126984,34880.78247925025
5608.6357708158075,4128.713275685123,3243.708996643848,2890.0,23.623056609643754,10.0,0.58,0.484723201862271,35032.05716375356
5632.026698742475,4146.004537939083,3257.5782748695938,2900.0,23.390927926667246,10.0,0.57,0.48508769577986754,35181.84536859162
5655.362524965707,4163.255067392373,3271.4148814177543,2910.0,23.33582622323229,10.0,0.57,0.4854441704272564,35331.28071931175
5678.7522885402395,4180.545468922972,3285.2834692594433,2920.0,23.38976357453248,10.0,0.57,0.4858025143552668,35481.061468001986
5702.282809819002,4197.939922690649,3299.235517140363,2930.0,23.530521278762535,10.0,0.58,0.48617071443139537,35631.74358511592
5725.62134050621,4215.192451363294,3313.0737272573697,2940.0,23.33853068720782,10.0,0.57,0.486518580255312,35781.196254379596
5749.009347088469,4232.481554073501,3326.94127331847,2950.0,23.38800658225955,10.0,0.57,0.4868680845690101,35930.96575183948
5772.537968467577,4249.874603379444,3340.8921946841438,2960.0,23.52862137910779,10.0,0.57,0.48722728200316734,36081.635702588756
5795.924725907193,4267.16278268665,3354.759000086005,2970.0,23.386757439615394,10.0,0.57,0.4875710089416271,36231.397200928855
5819.310875235978,4284.450512460435,3368.6254449182334,2980.0,23.386149328784995,10.0,0.57,0.48791188510117434,36381.154805116916
5842.641824034652,4301.697436377962,3382.459159475172,2990.0,23.3309487986744,10.0,0.57,0.4882452150927611,36530.55892233185
5865.9771287542335,4318.947580320407,3396.2954568060477,3000.0,23.335304719581472,10.0,0.57,0.4885762422866643,36679.990933505316
5889.3615394847075,4336.234024871158,3410.1608707640935,3010.0,23.384410730473974,10.0,0.57,0.48890898538755134,36829.73740425221
5912.886272330035,4353.624199658502,3424.1094864855854,3020.0,23.52473284532789,10.0,0.57,0.48925110343747535,36980.382454044324
6198.523995601282,4370.909705541834,3437.9741475408414,3030.0,285.6377232712466,10.0,0.96,0.5111739504436863,37130.12079344109
6222.886499987919,4388.154322027746,3451.8060113126503,3040.0,24.36250438663683,10.0,0.59,0.5114806859711074,37279.504922176624
6247.305500512926,4405.438928418787,3465.669950887388,3050.0,24.419000525007505,10.0,0.59,0.5117895617727064,37429.23546958379
6271.87083794612,4422.8271170942835,3479.6169735535323,3060.0,24.565337433194145,10.0,0.59,0.5121073121561333,37579.86331437815
6296.237129784706,4440.074414468632,3493.4509876592538,3070.0,24.366291838585312,10.0,0.59,0.5124071727287267,37729.270666719945
6320.654237436753,4457.357681019248,3507.3138525513364,3080.0,24.41710765204698,10.0,0.59,0.5127086532501226,37878.98960755443
6345.217530348528,4474.744422512336,3521.259714436089,3090.0,24.563292911775534,10.0,0.59,0.5130190956402128,38029.60491590977
6369.633303792335,4492.026744664582,3535.1218218285994,3100.0,24.415773443806756,10.0,0.59,0.5133157593223974,38179.315675748876
6393.991203540382,4509.268101829314,3548.9510713070385,3110.0,24.357899748047203,10.0,0.59,0.5136058214658106,38328.67157011602
6418.609604608813,4526.693850766453,3562.9282209651446,3120.0,24.618401068431012,10.0,0.59,0.5139134485503871,38479.62478642356
6442.966178573119,4543.934269495964,3576.7567177270394,3130.0,24.356573964305426,10.0,0.59,0.5141988953534754,38628.972551452025
6467.328450973047,4561.178721773725,3590.5884497879,3140.0,24.36227239992877,10.0,0.59,0.5144826425998497,38778.35525770932
6491.94484970619,4578.603053389245,3604.56446261588,3150.0,24.616398733142887,10.0,0.59,0.5147833199449472,38929.29619625151
